"No.","Time","Source","Destination","Protocol","Length","Info"
"4768","246.235131","223.196.57.16","192.168.43.6","TCP","1414","[TCP Out-Of-Order] 443  >  53428 [ACK] Seq=77745 Ack=1979 Win=70656 Len=1348 TSval=1069532808 TSecr=4113927447 [TCP segment of a reassembled PDU]"
"4769","246.394949","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=80441 Ack=1979 Win=70656 Len=1348 TSval=1069532811 TSecr=4113927447 [TCP segment of a reassembled PDU]"
"4770","246.398224","192.168.43.6","223.196.57.16","TCP","78","[TCP Window Update] 53428  >  443 [ACK] Seq=1979 Ack=77745 Win=139648 Len=0 TSval=4113927519 TSecr=1069532805 SLE=79093 SRE=80441"
"4771","246.303020","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=80441 Win=142336 Len=0 TSval=4113927519 TSecr=1069532808"
"4772","246.304003","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=81789 Win=145024 Len=0 TSval=4113927519 TSecr=1069532811"
"4773","246.304975","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=81789 Ack=1979 Win=70656 Len=1348 TSval=1069532811 TSecr=4113927447 [TCP segment of a reassembled PDU]"
"4774","246.343516","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=83137 Win=147712 Len=0 TSval=4113927520 TSecr=1069532811"
"4775","246.345621","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=83137 Ack=1979 Win=70656 Len=2696 TSval=1069532814 TSecr=4113927450 [TCP segment of a reassembled PDU]"
"4776","246.409893","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=85833 Win=153088 Len=0 TSval=4113927528 TSecr=1069532814"
"4777","246.420141","223.196.57.16","192.168.43.6","TLSv1.3","2762","Application Data [TCP segment of a reassembled PDU]"
"4778","246.416740","223.196.57.16","192.168.43.6","TCP","66","[TCP Dup ACK 4683#1] 443  >  53428 [ACK] Seq=88529 Ack=1979 Win=70656 Len=0 TSval=1069532821 TSecr=4113927459"
